PO_NUMBER,STATUS,SUPPLIER,ATTACHMENTS_FOUND,ATTACHMENTS_DOWNLOADED,LAST_PROCESSED,ERROR_MESSAGE,DOWNLOAD_FOLDER,COUPA_URL
PO15262984,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,2,2,2025-07-28 01:38:29,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15262984
PO15327452,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,2,2,2025-07-28 01:19:52,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15327452
PO15362783,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,1,1,2025-07-28 01:20:04,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15362783
PO15421343,COMPLETED,Ernst_and_Young_LLP-0000337414,1,1,2025-07-28 01:38:47,,Ernst_and_Young_LLP-0000337414/,https://unilever.coupahost.com/order_headers/15421343
PO15471563,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,1,1,2025-07-28 01:38:59,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15471563
PO15495542,NO_ATTACHMENTS,,0,0,2025-07-28 01:47:49,,,https://unilever.coupahost.com/order_headers/15495542
PO15636776,FAILED,,0,0,2025-07-28 01:48:11,Page load timeout,,https://unilever.coupahost.com/order_headers/15636776
PO15703120,NO_ATTACHMENTS,,0,0,2025-07-28 01:48:11,,,https://unilever.coupahost.com/order_headers/15703120
PO15703149,NO_ATTACHMENTS,,0,0,2025-07-28 01:48:12,,,https://unilever.coupahost.com/order_headers/15703149
PO15723444,COMPLETED,ERNST_AND_YOUNG_LLP-0001016941,2,2,2025-07-28 01:39:48,,ERNST_AND_YOUNG_LLP-0001016941/,https://unilever.coupahost.com/order_headers/15723444
PO15725717,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,1,1,2025-07-28 01:40:03,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15725717
PO15745961,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,1,1,2025-07-28 01:40:14,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15745961
PO15756739,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,1,1,2025-07-28 01:40:25,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15756739
PO15773540,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,1,1,2025-07-28 01:40:41,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15773540
PO15787315,COMPLETED,Ernst_and_Young_LLP-0000337414,2,2,2025-07-28 01:48:48,,Ernst_and_Young_LLP-0000337414/,https://unilever.coupahost.com/order_headers/15787315
PO15788264,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,1,1,2025-07-28 01:41:34,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15788264
PO15826392,NO_ATTACHMENTS,,0,0,2025-07-28 01:48:49,,,https://unilever.coupahost.com/order_headers/15826392
PO15826591,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,1,1,2025-07-28 01:41:49,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15826591
PO15873456,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,1,1,2025-07-28 01:42:01,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15873456
PO15891007,NO_ATTACHMENTS,,0,0,2025-07-28 01:48:49,,,https://unilever.coupahost.com/order_headers/15891007
